Storeid,StoreName,State,Date,VALUE,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower
32490,FOODLAND WEST LAKES  1252,SA,1/7/2025,3,1000.72,568.53,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
53195,FOODLAND HENLEY BEACH (CHAPLEYS)  83565,SA,2/7/2025,664.32,1000.72,568.53,659.32,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
5924,FOODLAND NORWOOD (CHAPLEYS)  78406,SA,3/7/2025,1331.64,2501.8,2274.12,1318.64,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0
21130,FOODLAND PASADENA (CHAPLEYS) 78365,SA,3/7/2025,10977.649,1501.08,2274.12,5933.88,4088.07,106.02,363.99,0,354.4,0,86.289,3,4,18,9,2,3,0,5,0,1
32468,FOODLAND FREWVILLE (CHAPLEYS) 77337,SA,3/7/2025,11422.329,1501.08,1705.59,6593.2,4088.07,106.02,363.99,0,141.76,0,86.289,3,3,20,9,2,3,0,2,0,1
4615,FOODLAND BALAKLAVA  1409,SA,4/7/2025,3,1000.72,568.53,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
30486,IGA PERTH,TAS,30/6/2025,286.84,500.36,0,0,0,0,0,229.89,0,53.95,0,1,0,0,0,0,0,1,0,1,0
30467,HILL STREET IGA - LONGFORD,TAS,30/6/2025,410.17,500.36,568.53,0,0,0,121.33,229.89,0,53.95,0,1,1,0,0,0,1,1,0,1,0
30581,IGA WESTBURY,TAS,30/6/2025,410.17,500.36,568.53,0,0,0,121.33,229.89,0,53.95,0,1,1,0,0,0,1,1,0,1,0
30387,IGA BEACONSFIELD,TAS,30/6/2025,124.33,500.36,568.53,0,0,0,121.33,0,0,0,0,1,1,0,0,0,1,0,0,0,0
30459,IGA XPRESS BEACONSFIELD,TAS,30/6/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30736,IGA SUPA PROSPECT,TAS,30/6/2025,179.28,500.36,568.53,0,0,0,121.33,0,0,53.95,0,1,1,0,0,0,1,0,0,1,0
30374,IGA SUPA SHEARWATER,TAS,1/7/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
30176,IGA SUPA SPREYTON,TAS,1/7/2025,667.17,3502.52,3411.18,0,0,0,485.32,0,0,161.85,0,7,6,0,0,0,4,0,0,3,0
30366,IGA PENGUIN,TAS,1/7/2025,183.9430584,500.36,0,0,0,0,121.33,0,0,59.51,0,1,0,0,0,0,1,0,0,1.103058387,0
30802,IGA BURNIE,TAS,1/7/2025,61.61305839,500.36,0,0,0,0,0,0,0,59.51,0,1,0,0,0,0,0,0,0,1.103058387,0
30834,IGA SOMERSET,TAS,1/7/2025,211.8546061,1000.72,568.53,0,0,0,121.33,0,0,84.95,0,2,1,0,0,0,1,0,0,1.574606117,0
30388,IGA SHEFFIELD,TAS,1/7/2025,1,0,568.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30658,IGA XPRESS PENGUIN,TAS,1/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
30818,IGA YOUNGTOWN,TAS,1/7/2025,375.90076,500.36,0,0,0,0,0,229.89,0,141.39,0,1,0,0,0,0,0,1,0,2.620759963,0
30365,IGA BICHENO,TAS,2/7/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
