Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
442327,Coochin Creek Fruitgrowers Cooperative (Beerwah),-,6.54%,,0.34%,96.11%,
442335,Ravenshoe Home Timber & Hardware (Ravenshoe),Home,10.09%,9.81%,12.96%,-11.06%,0.00%
442483,East End Welding (Jerilderie),-,16.39%,0.00%,36.06%,,
442889,Hoogies Home Timber & Hardware (Seville),Home,-44.88%,-32.94%,-54.99%,-25.84%,
443812,Eildon Hardware (Eildon),-,-53.22%,-70.49%,-56.11%,-30.77%,
443861,SX Home Timber & Hardware (Southern Cross),Home,-8.43%,2.60%,-6.98%,-32.37%,
453035,Drysdale Home Timber & Hardware (Drysdale),Home,1.97%,-32.50%,9.28%,11.07%,
453175,Kojonup Co-Op Home Timber & Hardware (Kojonup),Home,-1.49%,-24.59%,3.43%,21.06%,
457275,Boorowa Hardware (Boorowa),Thrifty,-38.03%,115.84%,-37.42%,-89.25%,
457390,Sea Lake Hardware (Sea Lake),-,9.75%,14.92%,7.30%,26.17%,
457721,Ceduna Home Timber & Hardware (Ceduna),Home,5.67%,24.17%,3.39%,15.34%,
461822,Harley & Co Mitre 10 (Kyogle),Mitre 10,-1.78%,5.91%,-4.30%,106.24%,
462978,Bullsbrook Hardware & Rural Supplies (Bullsbrook),-,-0.96%,-3.29%,2.79%,-44.32%,
463976,McKechnie HOME HARDWARE (Narrabri),Home,8.55%,20.26%,1.99%,91.32%,
465971,Bombala Electrical Home Hardware (Bombala),Home,15.16%,-4.57%,37.76%,-51.67%,
466045,Mt Compass Thrifty Link (Mount Compass),-,-100.00%,-100.00%,,,
468801,Commercial Hardware Supplies & Commercial Hospitality Supplies (Southport),-,-100.00%,-100.00%,-100.00%,-100.00%,
471151,R K Fraser & Co - Trade Outlet (Narrandera),-,11.34%,54.63%,-19.06%,,
475376,R & R Tuross Hardware (Tuross Head),-,-13.28%,-13.06%,-13.13%,-15.55%,
478966,Harvey Mitre 10 (Harvey),Mitre 10,2.17%,-7.48%,0.21%,35.13%,
479220,Newcastle Home Timber & Hardware (Broadmeadow),Home,18.64%,38.75%,14.90%,25.16%,
479881,Dooleys Supermarket (Murrurundi),-,111.21%,0.00%,272.37%,,
480160,Casino Home Timber & Hardware (Casino),Home,5.80%,-45.77%,7.28%,11.91%,
483941,Corrigin Home Hardware (Corrigin),Home,20.04%,-1.79%,25.29%,115.82%,
486134,Burdekin Home Timber & Hardware (Ayr),Home,14.44%,-100.00%,25.66%,-16.20%,
489559,Mt Alexander Timber And Hardware Pty Ltd (Campbells Creek),-,-59.06%,,,-59.06%,
503581,Acme Rural Supplies (Allansford),-,-65.79%,-,-73.56%,,
515536,Antonakas Home Timber & Hardware (Hay),Home,-8.86%,87.23%,-8.84%,-22.88%,
519371,Ashton Co-Op Society (Ashton),Thrifty,1.83%,-21.70%,2.29%,40.94%,
526194,B & S Mitre 10 (Alice Springs),Mitre 10,-27.98%,-82.13%,-31.65%,5.94%,
528208,J S Baker & Sons (Leitchville),-,-13.45%,234.62%,-28.19%,150.61%,
529453,Ballarat Saw Service (Wendouree),-,46.05%,-,-41.08%,,
531103,Barossa Nursery (Nuriootpa),-,0.00%,,,0.00%,
534842,Beaconsfield Mitre 10 (Beaconsfield),Mitre 10,-15.72%,-18.51%,-15.86%,0.90%,0.00%
535518,Beckers Iga (Auburn),-,-47.40%,-39.60%,-100.00%,,
535575,Becks Mitre 10 (Scottsdale),Mitre 10,-19.66%,-16.59%,-16.16%,-36.98%,
535591,Becks Mitre 10 (Deloraine),Mitre 10,-9.87%,-16.07%,-2.13%,-43.93%,
536003,Beech Hardware & Building Supplies (Barmera),Thrifty,7.90%,81.36%,6.87%,-0.19%,
536300,Beechworth Mitre 10 (Beechworth),Mitre 10,-8.98%,-35.11%,-0.92%,-45.75%,
536755,Belgrave South Home Timber & Hardware (Belgrave South),Home,-17.50%,-26.65%,-13.85%,-33.62%,
539502,Bensons Home Timber & Hardware (Morwell),-,9.24%,,-100.00%,38.49%,
542928,Biz Buzz Handy Hardware (Watsonia),Thrifty,-10.53%,-35.58%,-5.34%,-42.48%,
545301,L V Bodinnar Pty Ltd Home Timber & Hardware (Balranald),-,-100.00%,-100.00%,-100.00%,-100.00%,
546077,Bonneys Home Hardware & Electrical (Meningie),Thrifty,-5.21%,64.37%,-10.75%,-45.38%,
549253,E M Bowman & Co (Whitemark),-,-29.48%,,-28.66%,-38.58%,
577254,Castlemaine Home Timber & Hardware (Castlemaine),Home,1.43%,-15.77%,1.61%,3.04%,
590158,Coleraine Joinery & Building Supplies (Coleraine),-,-54.23%,,-54.23%,,
595504,Coopers Rural & Hardware Supplies (Mylor),-,-11.72%,,-14.23%,0.00%,
596304,Cooper's Mitre 10 (Yarram),Mitre 10,-28.73%,-15.58%,-29.24%,-33.09%,
598441,Crafers Garden Centre & Landscaping Supplies (Crafers),-,27.10%,-100.00%,58.31%,,
602474,Cummins Home Hardware (Cummins),Home,6.14%,-14.07%,11.47%,8.13%,
