Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
784625,S & L Hardware Wa (Wangara),-,-,,-,,
784628,Carnarvon Mitre 10 (Carnarvon),Mitre 10,8.14%,-17.56%,10.71%,20.52%,
784630,Cookernup General Store (Cookernup),-,0.55%,-0.36%,6.82%,-66.34%,
784632,Kulin Mitre 10 (Kulin),Mitre 10,13.44%,33.58%,12.58%,-35.44%,20.00%
784634,Metro Hardware (Balcatta),-,,,-,-,
784635,Metro Hardware (Joondalup),-,-27.13%,,-27.98%,0.00%,
784638,Kalgoorlie Mitre 10 (Boulder),Mitre 10,-8.64%,-49.64%,-0.20%,-35.86%,
784640,M&B Mitre 10 Trade Centre (Mandurah),Mitre 10,-100.00%,,-100.00%,,
784641,M&B Mitre 10 Trade Centre (Bunbury),Mitre 10,0.00%,,0.00%,,
784642,M&B Mitre 10 Trade Centre (Busselton),Mitre 10,82.70%,,82.70%,,
784644,M&B Mitre 10 Trade Centre (Geraldton),Mitre 10,0.00%,,,0.00%,
784646,Fitzroy Hardware (Fitzroy Crossing),-,23.17%,25.65%,8.59%,47.46%,
784647,Farinosi & Sons Mitre 10 (Northbridge),Mitre 10,17.51%,-68.97%,10.97%,243.98%,
784649,Streeter & Male Mitre 10 (Broome),Mitre 10,-1.43%,-11.62%,0.05%,-0.10%,
784650,Looma Store (Looma),-,-100.00%,,-100.00%,-100.00%,
784651,Tuckey’s Mitre 10 (Pinjarra),Mitre 10,-6.45%,-15.05%,-6.47%,1.49%,
784652,Derby Mitre 10 (Derby),Mitre 10,-6.42%,21.55%,-22.02%,-7.22%,
784653,Walker's Mitre 10 (Kalamunda),Mitre 10,-1.92%,-2.21%,-3.36%,30.99%,
784654,Staff Purchases Cod - Qld (Acacia Ridge),Mitre 10,81.36%,-21.77%,84.91%,-,
784659,Manjimup Mitre 10 (Manjimup),Mitre 10,-0.98%,-9.87%,-2.33%,16.62%,
784664,Manjimup Home Hardware (Manjimup),Home,-18.71%,-32.56%,-14.11%,-29.21%,
784665,Bridgetown Mitre 10 (Bridgetown),Mitre 10,4.54%,-14.03%,7.64%,7.19%,
784666,Roleystone Hardware (Roleystone),-,-39.11%,-53.71%,-31.38%,-100.00%,
784667,Alexander Galt (Wagin),-,9.98%,36.46%,6.25%,22.93%,
784668,Mt Barker Mitre 10 (Mount Barker),Mitre 10,-10.34%,-19.83%,-7.04%,-12.43%,0.00%
784671,Dunsborough Mitre 10 (Dunsborough),Mitre 10,-5.57%,-3.93%,-6.20%,-1.98%,0.00%
784688,Karlin Supplies (Bayswater),-,-17.49%,-59.76%,89.32%,-37.01%,
784692,Mount Helena Home Hardware (Mt Helena),Home,-6.08%,-21.76%,-5.88%,57.37%,
785121,Gubbins Mitre 10 Trade Centre (Mittagong),Mitre 10,1857.48%,,1619.55%,-,
785139,Gubbins Pulbrook Mitre 10 (Mittagong),Mitre 10,-51.95%,-66.36%,-49.96%,-51.84%,
785535,Belmont Timber Trade Centre Mitre 10 (Belmont),Mitre 10,-7.92%,0.00%,-9.52%,77.39%,
785568,Monto Mitre 10 (Monto),Mitre 10,36.51%,43.36%,45.23%,-62.07%,
787960,Jurien Home Hardware (Jurien Bay),Home,-4.43%,-4.79%,-4.81%,18.60%,
788075,Lachlan Fertilizers Rural (Cowra),-,-78.03%,,-78.03%,,
789719,Donald Hardware (Donald),-,28.96%,65.70%,62.07%,-78.54%,
791442,Golden Run Rural (Richmond),-,26.47%,50.45%,29.45%,-60.42%,
791939,Tailem Bend Hardware (Tailem Bend),-,-34.97%,-34.97%,,,
793430,Wills & Co Mitre 10 (Renmark),Mitre 10,12.64%,20.21%,21.51%,-34.66%,
794065,Woodmans Mitre 10 (Jimboomba),Mitre 10,10.07%,14.61%,4.76%,41.55%,
794164,Morgan Home Hardware (Morgan),Home,-7.40%,-13.35%,-6.82%,-5.45%,
794362,Winton Home Hardware (Winton),Home,3.71%,51.65%,-1.78%,,
794461,Kalbarri Hardware & Building Supplies (Kalbarri),-,-10.40%,-22.19%,-11.74%,68.07%,
795740,Karratha Home Timber & Hardware (Karratha),Home,15.39%,-9.34%,3.81%,69.91%,
796052,Scud Ag Supplies (Beacon),-,-5.46%,-100.00%,34.09%,0.00%,
796789,Proston Rural Supplies (Proston),-,1.14%,66.77%,-7.53%,25.31%,
796888,Narromine Hardware (Narromine),-,-3.86%,-21.94%,-1.45%,5.17%,
797449,Becks Mitre 10 (Smithton),Mitre 10,-17.76%,-1.23%,-22.05%,-13.60%,
797464,Sunshine Mitre 10 (Eagle Farm),Mitre 10,74.53%,564.37%,-86.76%,,
798736,Dowerin And Districts Farm Shed (Dowerin),-,-11.73%,-12.86%,-11.76%,0.00%,
800540,Minlaton Home Hardware (Minlaton),Home,9.52%,,7.31%,48.33%,
800730,Wiggies T/A Brownwigg - Stratford (Stratford),-,-15.98%,-72.52%,6.60%,-61.89%,
800953,Sunlite Mitre 10 (Mosman),Mitre 10,4.73%,7.78%,2.21%,25.59%,12.69%
802025,Acres Rural Theodore Home Hardw (In Liq) (Theodore),Home,-86.89%,-88.23%,-85.78%,-100.00%,
802405,Midstate Hardware Mitre 10 (Port Pirie),Mitre 10,17.45%,-100.00%,21.62%,-13.33%,
802629,Jeffs Building Centre (Cowra),-,-100.00%,,-100.00%,,
803056,Waroona Rural Services (Waroona),-,-21.86%,-100.00%,-20.03%,,
803254,Sunshine Mitre 10 (St George),Mitre 10,3.78%,-1.27%,5.98%,-0.07%,
803551,Maclean Mitre 10 (Maclean),Mitre 10,-6.37%,-17.62%,-7.88%,48.59%,-100.00%
803569,Townsend Mitre 10 Trade Centre (Townsend),Mitre 10,50.11%,,61.80%,-50.94%,
803767,King's Mitre 10 (Windsor),Mitre 10,28.39%,-30.22%,35.99%,36.97%,
804054,Dardanup Rural (Dardanup),-,-14.03%,-29.77%,-7.23%,-68.69%,
804278,Medowie Hardware & Timber Supplies (Medowie),-,19.29%,2.88%,22.10%,62.92%,
804666,Wellstead Rural Services (Wellstead),-,-100.00%,,-100.00%,,
804765,Its Timber & Hardware (George Town),-,-69.14%,-30.00%,-95.53%,,
805119,Portland Mitre 10 (Portland),Mitre 10,-4.26%,6.31%,-2.79%,-18.47%,
806877,Hedland Hardware (South Hedland),Home,-3.46%,0.69%,-5.34%,-1.47%,
807800,Howard Trade Centre (F&T) (Stanthorpe),-,6.14%,-77.42%,48.32%,,
807883,Moora Hardware (Moora),Home,6.72%,2.52%,3.01%,87.12%,
808675,K&B Mitre 10 (Keith),Mitre 10,-2.85%,-6.82%,-3.96%,29.15%,
809376,Friendly Grocer Stroud (Stroud),-,-100.00%,-100.00%,,-100.00%,
809459,TM&H Mitre 10 Trade (Moe),Mitre 10,-69.17%,,-69.17%,,
809558,Moore's Home Hardware (Bordertown),Home,15.01%,71.03%,6.60%,32.26%,
809681,Hudson Mitre 10 Trade Centre (Matraville),Mitre 10,-100.00%,-100.00%,-100.00%,,
809756,Moorooduc Timber & Hardware (Mornington),-,-37.16%,,-37.16%,,
810259,Kangaroo Island Mitre 10 (Kingscote),Mitre 10,-15.01%,-17.92%,-12.40%,-35.88%,
810630,Wandoan Home Hardware (Wandoan),Home,-17.06%,-29.09%,-16.84%,100.42%,
811174,Poole's Home Hardware (Ouyen),Home,-8.56%,-12.16%,-2.73%,-100.00%,
811224,Lyal Eales Stores (Colac) (Colac),-,-61.81%,-80.70%,-61.93%,-,
811273,Injune Mitre 10 (Injune),Mitre 10,-2.47%,-3.80%,4.01%,-37.21%,
811851,Leonard Andrew Walker Pty Ltd ( Truss Plant) (Hamilton),-,16.88%,-18.11%,29.98%,0.00%,
811976,Lake Mitre 10 (Toronto),Mitre 10,6.92%,-21.16%,18.70%,-14.16%,
812057,Corryong Iga Plus Liquor (Corryong),Thrifty,-5.29%,22.45%,-100.00%,64.96%,
812149,Cape View Nursery (Somerset),-,39.50%,-100.00%,23.71%,,0.00%
812313,Brisbane Valley Hire & Sales Pty Ltd (Esk),-,20.48%,48.39%,7.39%,466.34%,
812479,Sunshine Mitre 10 (Brisbane),Mitre 10,-62.37%,-100.00%,-72.22%,-71.67%,-36.97%
812628,Len Moss Agencies (Oakleigh),-,-20.54%,,-,-100.00%,
812644,Lorne Hardware & Leisure (Lorne),Home,-4.88%,-54.14%,-7.21%,290.81%,
813725,Womersley's Mitre 10 (Frankston),Mitre 10,-8.54%,-13.46%,-12.72%,23.91%,
813741,Sorrento Mitre 10 (Sorrento),Mitre 10,2.14%,-1.36%,3.25%,-8.69%,
813907,Mitchell Mitre 10 (Mitchell),Mitre 10,10.05%,35.57%,9.63%,-22.21%,
814350,Petrie's Mitre 10 (Dubbo),Mitre 10,-4.96%,-10.94%,-0.64%,-25.56%,
814491,Stanthorpe Mitre 10 (Stanthorpe),Mitre 10,11.59%,26.67%,8.26%,33.56%,
814806,Upper Beaconsfield General Store (Upper Beaconsfield),-,-81.11%,-81.71%,-81.09%,,
814814,Collie Salvage & Hardware (Collie),-,2.12%,-61.92%,11.17%,-100.00%,
814970,Pulbrook Mitre 10 Trade (Bowral),Mitre 10,-56.61%,,-56.61%,,
815241,Goulburn Produce & Rural Supplies (Goulburn),-,-39.27%,,-39.27%,,
815258,Braidwood Rural Mitre 10 (Braidwood),Mitre 10,2.43%,7.85%,3.49%,-20.03%,
815282,Thursday Island Mitre 10 Dc (Portsmith),Mitre 10,-11.77%,-11.77%,,,
815746,Aird's Hardware (Nanango),-,-7.63%,,-8.29%,0.82%,
816249,Lyal Eales Stores (Hamilton),-,-23.80%,-60.61%,-38.24%,529.35%,
816496,Berry Springs Home Hardware (Berry Springs),Home,4.58%,-24.19%,10.38%,25.36%,
817163,Porter's Mitre 10 Trade Centre (Rural View),Mitre 10,535.41%,,508.66%,773.27%,
817452,Peregian Beach Mitre 10 (Peregian Beach),Mitre 10,13.55%,24.27%,9.83%,57.48%,
817858,J's Hardware & Gifts (Perenjori),-,-61.37%,-100.00%,-42.09%,-100.00%,
817882,K&B Mitre 10 (Glenelg),Mitre 10,-9.59%,-4.61%,-9.64%,-13.87%,
818047,Redmans Hardware (Balwyn North),-,25.60%,-100.00%,39.49%,-11.36%,
818211,Brunswick Rural Agencies (Brunswick),-,-2.06%,-42.85%,2.52%,135.39%,
818393,K&B Mitre 10 (Norwood),Mitre 10,-1.27%,5.39%,-0.91%,-9.70%,
818435,Lightning Ridge Mining & Steel Supplies Pty Ltd (Lightning Ridge),-,-58.51%,-20.56%,-61.85%,,
818542,Hillston Hardware (Hillston),-,-3.16%,3.32%,-5.37%,1.82%,
818625,K&B Mitre 10 (Blackwood),Mitre 10,2.74%,-18.21%,12.02%,-34.48%,
818823,K&B Mitre 10 (Mount Barker),Mitre 10,16.19%,2.18%,17.76%,25.83%,
818922,Binalong Rural Store (Binalong),-,6.16%,-45.49%,20.55%,,
818930,Gnowangerup Hardware (Gnowangerup),-,-1.65%,-6.91%,-1.08%,24.51%,
819045,K&B Mitre 10 (Millicent),Mitre 10,-5.95%,-2.69%,-8.92%,14.61%,0.00%
819144,Williams Rural Supplies (Williams),-,-17.05%,-24.81%,-18.02%,11.72%,
819532,Ipswich Mitre 10 (Ipswich),Mitre 10,-13.00%,-53.64%,5.16%,,
819649,Fill The Container (Crestmead),-,-100.00%,-100.00%,,,
819912,Binnaway Rural Supplies (Binnaway),-,14.09%,,14.09%,,
820209,Gundagai Mitre 10 (Gundagai),Mitre 10,22.68%,-29.66%,-,-,
820704,Nannup Hardware & Agencies (Nannup),Thrifty,7.00%,-13.31%,8.87%,2.24%,
820803,The Mill - Timber And Rural (Booral),-,-,-,,,
821546,Double Bay Hardware (Double Bay),-,-12.05%,-77.54%,-6.34%,-8.29%,
821983,National Agricultural Service (Exad) (Mildura),-,-100.00%,-100.00%,-100.00%,,
823781,Iluka Hardware And Outdoors Pty Ltd (Iluka),-,-100.00%,-100.00%,-100.00%,-100.00%,
823799,Rattray & Walker Mitre 10 (Rye),Mitre 10,2.52%,-8.93%,1.67%,35.34%,
823898,Neerim South Home Hardware (Neerim South),Home,4.31%,19.89%,2.38%,22.56%,
824896,Trotter's Mitre 10 (Euroa),Mitre 10,5.90%,32.43%,10.52%,-49.68%,
825398,Yelbeni Rural Pty Ltd (Yelbeni),-,-18.28%,-27.02%,,-,
825547,Sunshine Mitre 10 (Nambour),Mitre 10,12.52%,8.03%,14.34%,6.64%,
825661,Yp-Ag & Nr-Ag (Curramulka),-,115.44%,,115.44%,,
825836,Holbrook Mitre 10 (Holbrook),Mitre 10,-18.21%,-18.44%,-11.22%,-22.19%,
826115,Burton's Home Hardware (Euroa),Home,3.64%,-64.90%,37.10%,-,
826693,Becks Mitre 10 (St Helens),Mitre 10,10.38%,4.11%,12.74%,2.94%,
827147,Gts Farm Supplies (Tongala),Home,-21.93%,-5.31%,-35.27%,0.09%,-100.00%
827568,Farm And Home (Nabiac),-,5.96%,-4.97%,-81.48%,98.62%,
827691,Dorrigo Hardware (Dorrigo),Thrifty,25.98%,5.29%,27.73%,32.41%,
828772,West Rocky Hardware (Rockhampton),-,4.42%,100.00%,1.99%,,
829119,Merimbula Mitre 10 (Merimbula),Mitre 10,5.95%,-6.09%,11.59%,-0.40%,
829150,Wells Latrobe Mitre 10 (Latrobe),Mitre 10,-15.40%,-26.31%,-8.03%,-42.59%,
829804,K&B Mitre 10 Trade Centre (Torrensville),Mitre 10,-12.92%,,-12.92%,,
830851,North Eastern Home Improvement (Mount Beauty),Thrifty,-30.24%,-36.55%,-27.11%,-56.02%,
831032,Augathella Rural (Augathella),-,-47.09%,,-42.11%,-74.42%,
831065,Moonta Hardware & Camping (Moonta),-,0.00%,,,0.00%,
831347,Bisbas Hardware (Albert Park),-,-1.81%,-14.05%,-2.16%,60.40%,
831602,Northern Joinery & Timber Supplies Co (Port Augusta),-,50.76%,,50.76%,,
833111,Red Hill Garden & Farm Supplies (Red Hill),-,-11.76%,,-11.76%,,
833806,Yirrkala Community Store (Yirrkala),-,-,,-,-,
834143,Numurkah Home Timber & Hardware (Numurkah),Home,-33.82%,-21.91%,-40.60%,-0.39%,
834390,Augusta Home Hardware (Augusta),Home,16.40%,23.66%,17.25%,-24.17%,
834481,Clennett's Mitre 10 (Swansea),Mitre 10,22.23%,5.40%,21.85%,161.90%,
834689,Gulgong Timber And Hardware (Gulgong),-,-16.58%,,-15.28%,-37.36%,
834713,Gatton Mitre 10 (Gatton),Mitre 10,10.16%,-20.13%,14.88%,-5.80%,
835678,The Store Beachport (Beachpoint),-,42.66%,,,42.66%,
835728,Crameri's Mitre 10 (South Melbourne),Mitre 10,-74.51%,-90.62%,-73.47%,-93.37%,
835736,Brookes Timber And Hardware (Port Fairy),Home,-7.16%,-11.08%,-9.66%,59.73%,0.00%
835744,Gibson's Home Hardware (Crookwell),Home,24.43%,13.63%,26.56%,3.77%,
835769,Herbert Hall Hardware (Charters Towers City),-,0.00%,0.00%,,,
836098,Hewitt & Whitty Pty Ltd (Winchelsea),-,-20.51%,-25.58%,-16.36%,-88.89%,
837237,Boyanup Farmco (Boyanup),-,-69.41%,-100.00%,-62.98%,-71.18%,
837443,Tenterfield Home Hardware (Tenterfield),Home,-19.20%,-14.52%,-21.38%,-24.33%,
837542,Meekatharra Iga Plus Liquor (Meekatharra),Thrifty,-61.38%,0.00%,-66.96%,,
838144,Omeo Rural & Hardware (Omeo),Thrifty,-7.15%,2.86%,-9.37%,9.38%,
838177,Russell Island Mitre 10 (Russell Island),-,17.18%,-39.17%,21.80%,50.57%,
838243,Karridale Agencies (Nillup),-,-48.43%,,-48.43%,,
838763,Dayboro Produce & Hardware (Dayboro),-,11.55%,-2.36%,13.07%,,
839217,Gunns Mitre 10 (Narrandera),Mitre 10,-0.21%,22.28%,-0.17%,-17.19%,
839266,Bremer Bay Hardware (Bremer Bay),-,-11.75%,-39.49%,-5.22%,-6.35%,
839282,Wellers Hill True Value Hardware (Tarragindi),True Value,37.30%,55.97%,31.65%,113.20%,
839381,'@Ag Middlemount (Middlemount),-,-34.12%,-21.12%,-47.02%,-79.02%,
840405,Atkinsons Mitre 10 (Hillarys),Mitre 10,8.49%,-21.35%,9.26%,31.59%,0.00%
840603,Warooka Hardware (Warooka),-,-28.70%,-28.74%,-28.43%,,
841700,Denmark Co-Operative Co.Ltd (Denmark),-,-4.60%,-1.42%,-1.65%,-24.83%,
841726,Taylor's Mitre 10 (Woodenbong),Mitre 10,21.82%,25.27%,26.56%,2.31%,
841791,Toodyay Hardware And Farm (Toodyay),-,-6.33%,-1.29%,-0.83%,-39.35%,
841908,Julia Creek Hardware (Julia Creek),-,17.62%,48.23%,0.80%,28.23%,
842955,Petrie's Mitre 10 Trade Centre (Dubbo),Mitre 10,-13.47%,,-13.47%,,
843003,Scone Mitre 10 (Scone),Mitre 10,-4.15%,0.16%,-2.05%,-15.63%,
843128,The Long Room Home Hardware (Crystal Brook),Home,-15.32%,-40.31%,-14.76%,3.63%,
843185,Esperance Rural Supplies (Castletown),-,-52.60%,,-52.60%,,
843383,Onslow General Store (Onslow),-,-29.97%,-37.10%,-26.49%,-4.49%,
843839,Clennett's Mitre 10 (Sorell),Mitre 10,-8.47%,-11.23%,-9.99%,1.06%,
843847,Hardware Home & Rural_Wellington (Wellington),-,-70.95%,-59.67%,-73.84%,-74.78%,
844407,Park Road Mitre 10 (Cheltenham),Mitre 10,-6.35%,-20.29%,-0.72%,-36.84%,
844506,Bulahdelah Hardware (Bulahdelah),-,-50.12%,-26.77%,-60.95%,,
844654,Cohuna Mitre 10 (Cohuna),Mitre 10,9.97%,-17.38%,28.97%,-35.80%,
844662,Barham Mitre 10 (Barham),Mitre 10,-10.11%,-8.19%,9.98%,-91.78%,
844779,Bianco Mitre 10 (Whyalla),Mitre 10,-5.60%,-72.77%,0.40%,-15.47%,
844787,Cardwell Mitre 10 (Cardwell),Mitre 10,3.64%,18.55%,6.01%,-30.20%,
844829,Evans Head Home Hardware (Evans Head),Home,10.62%,-2.34%,14.77%,7.52%,
844944,Allora Home Hardware (Allora),Home,-3.24%,-38.74%,0.88%,-46.24%,
845032,BCS Whyalla (Whyalla Playford),-,9.77%,,-2.24%,-,
845172,E & Ra Parlour Home Hardware (Simpson),Home,-9.10%,-16.46%,-10.92%,-,
845321,Village Hardware (Pottsville),-,3.88%,-33.24%,7.67%,37.54%,
845552,Property Management Products (Crows Nest),-,-,-,,,
845560,Reynella Mitre 10 (Reynella),Mitre 10,-18.83%,5.03%,-23.00%,-20.56%,
846105,Hoadley's Hardware (Blayney),-,56.44%,,61.42%,-49.58%,
846139,Sunshine Mitre 10 Aura (Baringa),Mitre 10,38.79%,27.38%,39.62%,56.43%,
846147,Sunshine Mitre 10 (North Lakes),Mitre 10,-16.61%,-50.70%,-19.87%,23.97%,
846584,Palmwoods Farm & Garden (Palmwoods),-,8.80%,46.76%,-42.12%,4.00%,
846816,Rutherglen Home Hardware (Rutherglen),Home,-4.98%,17.01%,-0.89%,-50.56%,
846824,Larmax Agribarn (Lang Lang),True Value,-6.70%,-0.28%,-10.35%,2.92%,
846931,Ardrossan Home Hardware (Ardrossan),Home,-1.35%,22.99%,-4.60%,-28.09%,
846998,Cowell Home Hardware (Cowell),Home,1.06%,-36.02%,7.03%,-9.16%,
847194,Sapphire Mitre 10 (Narooma),Mitre 10,13.58%,-3.93%,15.04%,38.17%,
847582,Swr Building Supplies (South West Rocks),-,-59.17%,-59.17%,,,
848085,Shippy's Home Hardware Moonta (Moonta),Home,7.80%,-19.38%,9.72%,41.90%,
848416,Kelly's Mitre 10 (Penshurst),Mitre 10,-7.22%,-37.25%,-2.57%,22.56%,
848424,Kelly's Mitre 10 (Dunkeld),Mitre 10,-2.02%,-19.52%,0.26%,-23.80%,
848937,Builders Trade Centre Mitre 10 (Kemps Creek),Mitre 10,-26.15%,-18.38%,-7.08%,-76.04%,
848994,Shippy's Home Hardware Wallaroo (Wallaroo),Home,-13.77%,4.74%,-20.93%,92.30%,
849869,Gubbins Mitre 10 (Milton),Mitre 10,-18.31%,-47.78%,-16.04%,-9.67%,
850149,Orbost Home Hardware (Orbost),Home,5.04%,19.93%,0.02%,30.25%,0.00%
850271,Frankland River General Store (Frankland River),-,78.53%,-7.70%,-,329.70%,
850545,Elders Coonabarabran (Coonabarabran),-,0.00%,0.00%,,,
850552,Elders Baradine (Baradine),-,-52.06%,-43.87%,-53.54%,,
850560,Karratha Mitre 10 (Karratha),Mitre 10,11.03%,-15.72%,30.86%,-4.27%,
850586,K&B Naracoorte Mitre 10 (Naracoorte),Mitre 10,17.76%,15.49%,18.25%,16.84%,
850719,Marble Bar General Store & Post (Marble Bar),-,0.00%,,,0.00%,
851188,Hardware Home & Rural- Condobolin (Condobolin),-,-97.99%,,-94.31%,-100.00%,
851352,Nambucca Building & Hardware (Nambucca Heads),-,-29.41%,,-27.41%,-32.77%,
851386,Kimba Hardware (Kimba),Home,-13.50%,0.34%,-13.19%,-53.11%,
851600,Penhalluriak's Building Supplies (Caulfield),-,-19.68%,-57.02%,-11.01%,65.28%,
851824,Barwon Timber & Hardware Pty Ltd (Breakwater),-,-79.85%,,-79.85%,,
851907,Builders Mitre 10 (Austral),Mitre 10,-9.79%,4.13%,-2.83%,-54.27%,0.00%
852061,Kersbrook Hardware And Fodder (Kersbrook),-,12.56%,-100.00%,16.47%,3.91%,
852202,Independent Rural Home Hardware (Northampton),Home,-25.89%,-13.33%,-26.46%,-37.99%,
852707,Jurien Bay Mitre 10 (Jurien Bay),Mitre 10,-14.68%,-17.44%,-15.06%,-9.85%,
852954,Permewans Mitre 10 (Hamilton),Mitre 10,8.16%,-39.68%,11.49%,28.32%,
853077,Quairading Agri Services (Quairding),-,-1.74%,-6.39%,1.39%,0.00%,
853242,Herberton Hardware (Herberton),-,-0.54%,34.11%,-9.04%,12.65%,
853283,Morris Supermarket (Swansea),-,-86.30%,-86.30%,,,
853341,Charlton Hardware (Charlton),-,61.77%,80.38%,41.87%,,
853358,Balaklava Hardware And Fodder (Balaklava),Thrifty,-2.72%,-38.10%,11.75%,-23.82%,
853622,Kapunda Home Hardware (Kapunda),Home,0.87%,0.33%,5.71%,-33.49%,
853648,Crameri's Mitre 10 Daylesford (Daylesford),Mitre 10,3.74%,13.43%,1.56%,19.37%,
853705,Peterborough Home Timber & Hardware (Peterborough),Home,-15.04%,64.93%,-19.14%,-21.16%,
854067,Hewitt & Whitty Pty Ltd (Inverleigh),-,39.85%,39.85%,,,
854216,Prahran Hardware (South Yarra),-,7.41%,589.93%,-5.32%,180.25%,
854539,Hardings Hardware Ravenhall (Ravenhall),Home,-,-,-,-,-
855015,Beaufort Rural & Hardware (Beaufort),Home,-6.04%,-21.42%,3.91%,-83.30%,
855023,Dorrigo Building Supplies (Dorrigo),Mitre 10,38.72%,,43.96%,0.00%,
855254,Wilair Building Supplies (Raleigh),Mitre 10,-23.51%,-15.98%,-20.76%,-63.71%,
855460,K&B Mitre 10 (Mount Gambier),Mitre 10,-9.44%,-27.11%,-1.01%,-38.44%,
855478,North Midlands Ag & Trade (Carnamah),-,-50.79%,-33.67%,-49.93%,-85.46%,
855775,Worms Mitre10 (Jamestown),Mitre 10,0.44%,-15.97%,1.46%,19.72%,
855882,Wudinna Hardware (Wudinna),-,8.54%,21.92%,6.29%,8.05%,
856096,Tait Mitre 10 (Clayton),Mitre 10,-86.84%,83.80%,-85.80%,-100.00%,
856161,Yamba Bait & Tackle (Yamba),-,-59.73%,-39.51%,-71.75%,-44.00%,
856534,Mooroopna H Hardware Timber & Building Supplies (Mooroopna),-,-22.02%,,-21.29%,-33.45%,
856658,Patersons Home Hardware (Mukinbudin),Home,-14.60%,31.18%,-16.30%,-46.09%,
856948,G Gay & Co Mitre 10 (Bacchus Marsh),Mitre 10,-2.05%,25.12%,-0.77%,-34.98%,
856989,G Gay & Co Mitre 10 (Wendouree),Mitre 10,22.68%,-,12.95%,165.57%,
856997,G Gay & Co Mitre 10 (Ballarat),Mitre 10,-16.58%,-24.94%,-16.19%,7.05%,
857011,G Gay & Co Mitre 10 (Sebastopol),Mitre 10,4.14%,6.57%,11.52%,-30.45%,
857342,Dunedoo Home Hardware (Dunedoo),Home,25.95%,-5.41%,30.58%,12.44%,
857706,Katanning Hardware & Garden Centre (Katanning),-,21.15%,30.61%,46.92%,-14.93%,
857847,Town & Country Ag Horse & Pet Gordonvale (Gordonvale),-,-50.81%,-30.00%,-40.49%,-67.51%,
857854,Town & Country Ag Service (Babinda),-,-19.72%,96.51%,-9.57%,-100.00%,
858092,Wheatbelt Rural (Nungarin),-,-100.00%,,-100.00%,,
858332,Hardware Home & Rural- West Wyalong (West Wyalong),Mitre 10,-73.28%,,-59.68%,-91.35%,
858373,Ponderosa Timber & Hardware (Koo Wee Rup),-,-44.11%,,-36.70%,-91.01%,
858514,Pontings Mitre 10 (Warrnambool),Mitre 10,-0.90%,-12.60%,1.89%,-13.08%,
858548,Pope's Hardware Home Timber & Hardware (Kingston Se),Home,-5.76%,-8.66%,-13.19%,78.04%,
858654,Port Broughton Home Hardware (Port Broughton),Home,-0.99%,-20.52%,-0.60%,359.46%,
858902,Clennett's Mitre 10 (Hobart),Mitre 10,-0.23%,9.35%,0.05%,-8.56%,
859009,Portland Disposals Camping & Hardware (Portland),-,18.18%,43.91%,3.24%,-18.93%,
859041,Nedloh Rural (Goomeri),-,-,,-,,
859454,Foodworks Bruce Rock Supermarket & Hardware Store (Bruce Rock),-,-57.44%,-35.01%,-93.31%,-,
859678,Rynnes Hardware & Sports (Jamestown),Home,-3.58%,41.04%,-12.51%,38.53%,
859702,Van Cootens (Howard),-,-38.79%,-30.06%,-100.00%,-100.00%,
859876,Sunshine Mitre 10 (Bribie Island),Mitre 10,41.44%,120.15%,30.84%,117.72%,
859967,Dahlsens Mitre10 Deniliquin (Deniliquin),Mitre 10,-8.79%,-14.54%,-6.98%,-13.75%,
859983,Joe Joseph Pty Ltd (Old Bar),-,153.35%,124.35%,436.93%,,
860957,Pots N Plants (Broken Hill),-,-100.00%,,-100.00%,,
861112,Poyntons Nurseries (Essendon),-,-,,-,,
862599,Pretty Sally Mitre 10 (Wallan),Mitre 10,3.58%,-30.30%,11.83%,-52.17%,
865105,Provans Mitre 10 (Clifton Hill),Mitre 10,-20.25%,-56.12%,-18.33%,-36.89%,
870808,Lockhart Hardware & Hire Pty Ltd (Lockhart),-,198.88%,-100.00%,335.59%,,
870816,Bogan And Sons Wholesale Pty Ltd_Southport (Southport),-,148.99%,,186.67%,0.00%,
870824,Delta Agribusiness Hyden (Hyden),Mitre 10,15.27%,35.70%,17.97%,-29.16%,
870832,Dumbleyung General Store (Dumbleyung),-,541.15%,988.27%,0.00%,,
870873,Warby Hardware (Warburton),True Value,16.95%,-8.84%,23.43%,-13.12%,
870881,Clare Valley Hardware & Trade (Clare),Mitre 10,-100.00%,,-100.00%,,
870899,Manjimup Building Supplies (Manjimup),-,-0.57%,-33.60%,8.77%,-100.00%,
870923,Kwinny Hardware (Medina),-,69.74%,23.86%,74.95%,-,
870931,Kondinin Rural Supplies (Kondinin),-,79.22%,125.29%,46.27%,-,
870949,"Mooeys Hardware, Pet & Landscaping (Samford)",-,-49.35%,,-55.10%,1.54%,
870956,Ballidu Trading Post (Ballidu),-,5.42%,49.99%,3.05%,-100.00%,
871004,Benalla Mitre 10 (Benalla),Mitre 10,-4.13%,-0.25%,1.83%,-28.75%,
871020,The Bell Store (Bell),-,0.46%,103.00%,-10.39%,43.09%,
871038,Gilking School Supplies (Slacks Creek),-,-100.00%,,-100.00%,,
871046,Mallee Timber & Hardware (Mildura),-,45.69%,66.48%,39.48%,,
871053,Ocean Grove Home Hardware (Ocean Grove),Home,-4.20%,-25.70%,0.28%,1.19%,
