OFFER,Offer Group,Offer Tier,Drop Months,Order Deadline,Min Order Value (ex GST),Brand,Range,Energizer Order Code,HTH Code,Code,Description,Reg Charge Back Cost,Expo Charge Back Cost,Save,SRP / Promo RRP,$ GM,% GM,Qty Type,Qty,Reg Total Cost,Expo Total Cost
Armor All®  Range Loose,Armor All®  Range Loose,,JULY; SEPT; DEC,,,Armor All,,,379425,379425,Armor All Ultra Shine Wash & Wax 1L,3.3537,3.3537,40.00%,12.5,,,,8,44.72,26.83
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,209374,209374,NEW: Jelly Belly Berry Lemonade Mix Vent Duo,2.725,2.725,50.00%,9.99,,,,6,32.7,16.35
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,209366,209366,NEW: Jelly Belly Strawberry Shortcake Mix Vent Duo,2.725,2.725,50.00%,9.99,,,,6,32.7,16.35
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,675546,675546,Jelly Belly Hang 3D Gel Bubble Gum 1ea,1.7983,1.7983,50.00%,7,,,,6,21.57,10.79
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,675855,675855,Jelly Belly Hang 3D Gel Tutti-Frutti 1ea,1.7983,1.7983,50.00%,7,,,,6,21.57,10.79
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,675407,675407,Jelly Belly Hang 3D Gel Blueberry 1ea,1.7983,1.7983,50.00%,7,,,,6,21.57,10.79
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,388063,388063,Jelly Belly Hang 3D Gel Very Cherry 1ea,1.7983,1.7983,50.00%,7,,,,6,21.57,10.79
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,674980,674980,Jelly Belly Hang 3D Gel Island Punch 1ea,1.7983,1.7983,50.00%,7,,,,6,21.57,10.79
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,674964,674964,Jelly Belly Hang 3D Gel Pina Colada 1ea,1.7983,1.7983,50.00%,7,,,,6,21.57,10.79
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,374739,374739,Jelly Belly Vent 3D Gel Island Punch 2pk,2.4417,2.4417,50.00%,9.5,,,,6,29.29,14.65
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,388055,388055,Jelly Belly Vent 3D Gel Tangerine 2pk,2.4417,2.4417,50.00%,9.5,,,,6,29.29,14.65
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,675017,675017,Jelly Belly Vent Gel Bubble Gum 2pk,2.4417,2.4417,50.00%,9.5,,,,6,29.29,14.65
Jelly Belly® Range Loose,Jelly Belly® Range Loose,,JULY; SEPT; DEC,,,Jelly Belly,,,674930,674930,Jelly Belly Vent Gel Blueberry 2pk,2.4417,2.4417,50.00%,9.5,,,,6,29.29,14.65
Armor All® Quick Clean Kit ,Armor All® Quick Clean Kit ,,JULY; SEPT; DEC,,,Armor All,,,657962,657962,Armor All Glass Wipes 30pk,6.03,6.03,40.00%,18,,,,4,100.8,70.88
Armor All® Quick Clean Kit ,Armor All® Quick Clean Kit ,,JULY; SEPT; DEC,,,Armor All,,,267335,267335,Armor All Car Wash 1L,2.8862,2.8862,40.00%,10,,,,4,100.8,70.88
Armor All® Quick Clean Kit ,Armor All® Quick Clean Kit ,,JULY; SEPT; DEC,,,Armor All,,,221336,221336,Armor All Frangipani Hanging Card x1pk,1.2958,1.2958,40.00%,4.6,,,,4,100.8,70.88
Armor All® Quick Clean Kit ,Armor All® Quick Clean Kit ,,JULY; SEPT; DEC,,,Armor All,,,na,na,Armor All Protectant 300mL,4.8317,4.8317,40.00%,16.5,,,,4,100.8,70.88
Armor All® Quick Clean Kit ,Armor All® Quick Clean Kit ,,JULY; SEPT; DEC,,,Armor All,,,na,na,Armor All Jumbo Sponge,2.2958,2.2958,40.00%,4.6,,,,4,100.8,70.88
Armor All® Quick Clean Kit ,Armor All® Quick Clean Kit ,,JULY; SEPT; DEC,,,Armor All,,,tba,tba,Armor All Quick Cleaning Kit,25.2,17.72,35,25.2,,,,4,100.8,70.88
