OFFER	Offer Group	Offer Tier	Drop Months	Order Deadline	Min Order Value (ex GST)	Brand	Range	Energizer Order Code	HTH Code	Code	Description	Reg Charge Back Cost	Expo Charge Back Cost	Save	SRP / Promo RRP	$ GM	% GM	Qty Type	Qty	Reg Total Cost	Expo Total Cost
Energizer 9	ENERGIZER LIGHTS RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Eveready	Dolphin	E304155700	2643179	DOLP22	EVEREADY DOLPHIN PICO 45 LUMENS	8.3	5.81	30%	10.95	4.14	42%	Minimum QTY	8	66.4	46.48
Energizer 9	ENERGIZER LIGHTS RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Eveready	Dolphin	E301640700	6067409	DOLH412	EVEREADY MINI DOLPHIN 75 LUMENS	13.49	9.44	30%	18.95	7.79	45%	Minimum QTY	8	107.92	75.52
ArmorAll 4	ARMOR ALL SLR RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	SLR	E303296800	7329907	-	WIPES PROTECTANT GLOSS 30PK SRT	9	6.3	30%	17.99	10.05	61%	IP/Multiple QTY	4	36	25.2
ArmorAll 4	ARMOR ALL SLR RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	SLR	E303296900	7059827	-	WIPES GLASS 30PK SRT	9	6.3	30%	17.99	10.05	61%	IP/Multiple QTY	4	36	25.2
ArmorAll 4	ARMOR ALL SLR RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	SLR	E301703400	2551265	-	PROTECTANT ORIGINAL 500ML	16.67	11.67	30%	22.99	9.23	44%	IP/Multiple QTY	6	100.02	70.02
ArmorAll 4	ARMOR ALL SLR RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	SLR	E301720600	2184943	-	CLEANER CAR WASH 1L	5.72	4	30%	8.95	4.14	51%	IP/Multiple QTY	4	22.88	16
ArmorAll 4	ARMOR ALL SLR RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	SLR	E301705300	2146991	-	CLEANER CAR MULTI PURPOSE 500ML	8.37	5.86	30%	15.99	8.68	60%	IP/Multiple QTY	6	50.22	35.16
ArmorAll 5	AUTO FRAGRANCE DEAL	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	Air Fresheners	E301727400	5481601	-	Armor All Air Freshener Vanilla Membrane 2.5ml	6.58	4.61	30%	10	4.48	49%	IP/Multiple QTY	6	39.48	27.66
ArmorAll 5	AUTO FRAGRANCE DEAL	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	Air Fresheners	E301727200	5481585	-	Armor All Air Freshener New Car Membrane 2.5ml	6.58	4.61	30%	10	4.48	49%	IP/Multiple QTY	6	39.48	27.66
ArmorAll 5	AUTO FRAGRANCE DEAL	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	Air Fresheners	E303858300	7418775	-	AIR FRESHENER JELLY BELLY 3D BUBBLEGUM	4.33	3.04	30%	7.99	4.22	58%	IP/Multiple QTY	6	25.98	18.24
ArmorAll 5	AUTO FRAGRANCE DEAL	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Armor All	Air Fresheners	E303858200	7418783	-	AIR FRESHENER JELLY BELLY 3D TUTTI FRUTTI	4.33	3.04	30%	7.99	4.22	58%	IP/Multiple QTY	6	25.98	18.24
Eveready 1	EVEREADY TOWER BIN DISPLAY	Display Pre-Pack	MARCH; MAY; JULY	End of July 2026	250	Eveready	HD Display	PRE-PACK	770003	6295703	Energizer TOWER Pre Pack	1137.06	568.53	50%	N/A	-	-	Bin QTY	1	-	-
Eveready 1	EVEREADY TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Eveready	HD Display	E300162001	2482628	E91BP4	Eveready BLACK AA 24pk	-	-	-	-	-	-	Bin QTY	18	-	-
Eveready 1	EVEREADY TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Eveready	HD Display	E000029100	2481877	E91HP10	Eveready BLACK AAA 24pk	-	-	-	-	-	-	Bin QTY	18	-	-
Eveready 1	EVEREADY TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Eveready	HD Display	E300577502	2481539	E92BP4	Eveready GOLD AA 8pk	-	-	-	-	-	-	Bin QTY	18	-	-
Eveready 1	EVEREADY TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Eveready	HD Display	E300573601	2546265	E92BP8	Eveready GOLD AAA 8pk	-	-	-	-	-	-	Bin QTY	18	-	-
Eveready 1	EVEREADY TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Eveready	HD Display	E000040400	2481380	E93BP2	Eveready GOLD AAA 16pk	-	-	-	-	-	-	Bin QTY	18	-	-
Eveready 1	EVEREADY TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Eveready	HD Display	E000040500	2481810	E95BP2	Eveready GOLD AAA 16pk	-	-	-	-	-	-	Bin QTY	18	-	-
Energizer 1	ENERGIZER PENTA BIN DISPLAY	Display Pre-Pack	MARCH; MAY; JULY	End of July 2026	250	Energizer	PENTA Display	PRE-PACK	770003	6295703	Energizer PENTAPre Pack	1000.72	500.96	50%	N/A	-	-	Bin QTY	1	-	-
Energizer 1	ENERGIZER PENTA BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	PENTA Display	E300162001	2482628	E91BP4	Energizer MAX PLUS AA 10pk	-	-	-	-	-	-	Bin QTY	24	-	-
Energizer 1	ENERGIZER PENTA BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	PENTA Display	E000029100	2481877	E91HP10	Energizer MAX PLUS AAA 10pk	-	-	-	-	-	-	Bin QTY	24	-	-
Energizer 2	ENERGIZER SPECIALTY 	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	SPECIALTY Display	PRE-PACK	2481539	E92BP4	Energizer SPECIALTY	-	-	-	-	-	-	Bin QTY	1	-	-
Energizer 2	ENERGIZER SPECIALTY 	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	SPECIALTY Display	E300573601	2546265	E92BP8	Energizer 2032 2pk	-	-	-	-	-	-	Bin QTY	12	-	-
Energizer 2	ENERGIZER SPECIALTY 	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	SPECIALTY Display	E000040400	2481380	E93BP2	Energizer 2025 2pk	-	-	-	-	-	-	Bin QTY	12	-	-
Energizer 2	ENERGIZER SPECIALTY 	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	SPECIALTY Display	E000040400	2481380	E93BP2	Energizer 2016 2pk							Bin QTY	12		
Energizer 2	ENERGIZER SPECIALTY 	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	SPECIALTY Display	E000040400	2481380	E93BP2	Energizer A23 2pk							Bin QTY	12		
Energizer 2	ENERGIZER SPECIALTY 	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	SPECIALTY Display	E000040400	2481380	E93BP2	Energizer A26 2pk							Bin QTY	12		
