Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
IGA M YANDINA (SEASONS),32758,YANDINA,QLD,4561,162,IGA Medium,SEASONS GROUP,,,,,,,,,,,
YARRABAH COMM STORE 0720,1496,YARRABAH,QLD,4871,2192,Friendly Grocer,,,,,,,,,,,,
IGA M YARRAMAN (PERIES),278,YARRAMAN,QLD,4614,573,IGA Medium,PERIES,,,,,,,,,,,
FOODWORKS CEDAR PARK YEPPOON,196846,YEPPOON,QLD,4703,1423,Foodworks,,,,,,,,,,,,
IGA M YEPPOON (PERIES),5115,YEPPOON,QLD,4703,365,IGA Medium,PERIES,,,,,,,,,,,
FOODWORKS YUNGABURRA,5753,YUNGABURRA,QLD,4884,993,Foodworks,BINISH PAPPACHAN,,,,,,,,,,,
IGA LOCAL GROCER ZILLMERE,33338,ZILLMERE,QLD,4034,979,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER ADELAIDE (CITY EAST),337,ADELAIDE,SA,5000,1166,IGA Local Grocer,VLASSIS,,,,,,,,,,,
IGA LOCAL GROCER GILBERT STREET,11195,ADELAIDE,SA,5000,862,IGA Local Grocer,NIC LI,,,,,,,,,,,
IGA LOCAL GROCER HUTT STREET,7385,ADELAIDE,SA,5000,1381,IGA Local Grocer,NIC LI,,,,,,,,,,,
IGA SOUTH AUSTRALIA,85672,ADELAIDE,SA,5000,1480,IGA Medium,,,,,,,,,,,,
IGA M ALBERTON,11640,ALBERTON,SA,5014,1049,IGA Medium,,,,,,,,,,,,
FOODLAND IGA ALDGATE,46569,ALDGATE,SA,5154,876,Foodland,ROMEO,,,,,,,,,,,
ANGASTON FOODLAND IGA,15354,ANGASTON,SA,5353,507,Foodland,EUDUNDA,,,,,,,,,,,
FGRC ARNO BAY,38664,ARNO BAY,SA,5603,1858,Friendly Grocer,,,,,,,,,,,,
ATHELSTONE FOODLAND IGA,104152,ATHELSTONE,SA,5076,409,Foodland,ROMEO,,,,,,,,,,,
IGA LOCAL GROCER WESTWOOD,53557,ATHOL PARK,SA,5012,1145,IGA Local Grocer,,,,,,,,,,,,
IGA M BECKERS (AUBURN),38633,AUBURN,SA,5451,939,IGA Medium,,,,,,,,,,,,
BALAKLAVA FOODLAND IGA,4615,BALAKLAVA,SA,5461,239,Foodland,,,,,,,,,,,,
BALHANNAH FOODLAND IGA,21423,BALHANNAH,SA,5242,745,Foodland,KLOSE,,,,,,,,,,,
BARMERA FOODLAND IGA,23814,BARMERA,SA,5345,266,Foodland,EUDUNDA,,,,,,,,,,,
FRIENDLY GROCER BEACHPORT,22369,BEACHPORT,SA,5280,1376,Friendly Grocer,,,,,,,,,,,,
BIRDWOOD FOODLAND IGA,21462,BIRDWOOD,SA,5234,457,Foodland,KLOSE,,,,,,,,,,,
IGA M BLAIR ATHOL,187860,BLAIR ATHOL,SA,5084,794,IGA Medium,hanif,,,,,,,,,,,
IGA LOCAL GROCER BOOLEROO CENTRE,12590,BOOLEROO CENTRE,SA,5482,1413,IGA Local Grocer,,,,,,,,,,,,
NTH BORDERTOWN FLAND IGA,2137,BORDERTOWN,SA,5268,68,Foodland,EUDUNDA,,,,,,,,,,,
IGA LOCAL GROCER BOWDEN,94962,BOWDEN,SA,5007,871,IGA Local Grocer,,,,,,,,,,,,
BRIGHTON FOODLAND IGA,14313,BRIGHTON,SA,5048,14,Foodland,ROMEO,,,,,,,,,,,
BROMPTON SUPERMARKET,41403,BROMPTON,SA,5007,2067,Friendly Grocer,,,,,,,,,,,,
BROOKLYN PARK IGA,10411,BROOKLYN PARK,SA,5032,926,Foodland,SA SUPERMART,,,,,,,,,,,
IGA M OPPY'S,22076,BURRA,SA,5417,797,IGA Medium,,,,,,,,,,,,
FLAND IGA ROMEO CAMPBELLTOWN,43170,CAMPBELLTOWN,SA,5074,636,Foodland,ROMEO,,,,,,,,,,,
CEDUNA FOODLAND IGA,13313,CEDUNA,SA,5690,75,Foodland,,,,,,,,,,,,
FLAXMILL ROAD SUPERMARKET,22177,CHRISTIE DOWNS,SA,5164,1613,IGA Medium,R PATEL,,,,,,,,,,,
IGA M CHRISTIES BEACH,508,CHRISTIES BEACH,SA,5165,866,IGA Medium,SA SUPERMART,,,,,,,,,,,
CLARE FOODLAND IGA,8577,CLARE,SA,5453,617,Foodland,EUDUNDA,,,,,,,,,,,
IGA M HAMPSTEAD ROAD,53550,CLEARVIEW,SA,5085,1223,IGA Medium,-,,,,,,,,,,,
CLEVE FOODLAND IGA,21684,CLEVE,SA,5640,679,Foodland,,,,,,,,,,,,
IGA M COFFIN BAY,84130,COFFIN BAY,SA,5607,1354,IGA Medium,,,,,,,,,,,,
FLAND IGA COWELL,9743,COWELL,SA,5602,627,Foodland,,,,,,,,,,,,
CROYDON FOODLAND IGA,6029,CROYDON,SA,5008,423,Foodland,ROMEO,,,,,,,,,,,
CRYSTAL BROOK FOODLAND IGA,38641,CRYSTAL BROOK,SA,5523,604,Foodland,EUDUNDA,,,,,,,,,,,
IGA M CUMMINS,13419,CUMMINS,SA,5631,766,IGA Medium,SAMEER KHOJA,,,,,,,,,,,
FOODLAND IGA DARLINGTON,14245,DARLINGTON,SA,5047,774,Foodland,SA SUPERMART,,,,,,,,,,,
DAW PARK FOODLAND,52523,DAW PARK,SA,5041,372,Foodland,ROMEO,,,,,,,,,,,
DULWICH SMKT (FWKS),33029,DULWICH,SA,5065,1266,Foodworks,,,,,,,,,,,,
IGA M EDITHBURGH,1995,EDITHBURGH,SA,5583,1020,IGA Medium,RON TURNBULL,,,,,,,,,,,
IGA M ELIZABETH DOWNS,9380,ELIZABETH DOWNS,SA,5113,1168,IGA Medium,,,,,,,,,,,,
FOODWORKS ELIZABETH EAST,33007,ELIZABETH EAST,SA,5112,2085,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER ELIZABETH VALE,13859,ELIZABETH VALE,SA,5112,1230,IGA Local Grocer,,,,,,,,,,,,
ELLISTON SUPERMARKET,23794,ELLISTON,SA,5670,1606,Friendly Grocer,,,,,,,,,,,,
ERINDALE FOODLAND IGA,12914,ERINDALE,SA,5066,595,Foodland,ROMEO,,,,,,,,,,,
EUDUNDA FOODLAND IGA,8096,EUDUNDA,SA,5374,677,Foodland,EUDUNDA,,,,,,,,,,,
FAIRVIEW PARK FOODLAND,43163,FAIRVIEW PARK,SA,5126,38,Foodland,ROMEO,,,,,,,,,,,
GRANGE FRUIT MARKET,39302,FINDON,SA,5023,2084,Foodworks,,,,,,,,,,,,
FLAGSTAFF HILL FOODLAND,40025,FLAGSTAFF HILL,SA,5159,592,Foodland,,,,,,,,,,,,
FLAND FREELING,237841,FREELING,SA,5372,379,Foodland,JOHN NAYLOR,,,,,,,,,,,
FREGON COMMUNITY STORE,112253,FREGON ,SA,872,1572,Friendly Grocer,MAI WIRU,,,,,,,,,,,
FREWVILLE FOODLAND IGA,32468,FREWVILLE,SA,5063,16,Foodland,CRG,,,,,,,,,,,
FGRC CAC FULHAM GARDENS,213801,FULHAM GARDENS,SA,5024,2069,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER GLADSTONE (SA),21183,GLADSTONE,SA,5473,1183,IGA Local Grocer,EUDUNDA,,,,,,,,,,,
IGA LOCAL GROCER GLENELG EAST,729,GLENELG EAST,SA,5045,823,IGA Local Grocer,,,,,,,,,,,,
GLENELG SOUTH FOODLAND IGA,699,GLENELG SOUTH,SA,5045,410,Foodland,ROMEO,,,,,,,,,,,
IGA LOCAL GROCER GOODWOOD,629,GOODWOOD,SA,5034,1312,IGA Local Grocer,,,,,,,,,,,,
FLAND IGA GOOLWA (CORP STORE),21408,GOOLWA,SA,5214,751,Foodland,,,,,,,,,,,,
GREENWITH FOODLAND,46120,GREENWITH,SA,5125,596,Foodland,ROMEO,,,,,,,,,,,
IGA LOCAL GROCER HACKHAM,21254,HACKHAM,SA,5163,1284,IGA Local Grocer,ZHEN,,,,,,,,,,,
HACKHAM FOODLAND,52539,HACKHAM,SA,5163,1356,Foodland,MANOJ RAI,,,,,,,,,,,
HAHNDORF SUPERMARKET,43169,HAHNDORF,SA,5245,1550,IGA Medium,SA SUPERMART,,,,,,,,,,,
HAPPY VALLEY FOODLAND IGA,21434,HAPPY VALLEY,SA,5159,59,Foodland,GRAHAM RUGLESS,,,,,,,,,,,
IGA LOCAL GROCER HENLEY BEACH SOUTH,13990,HENLEY BEACH SOUTH,SA,5022,947,IGA Local Grocer,MARIO LYU,,,,,,,,,,,
HENLEY SQUARE FOODLAND IGA,53195,HENLEY BEACH SOUTH,SA,5022,76,Foodland,CHAPLEYS,,,,,,,,,,,
IGA LOCAL GROCER HOLDEN HILL,5030,HOLDEN HILL,SA,5088,1404,IGA Local Grocer,,,,,,,,,,,,
HOVE FOODLAND IGA,9665,HOVE,SA,5048,840,Foodland,-,,,,,,,,,,,
JAMESTOWN FOODLAND IGA,13257,JAMESTOWN,SA,5491,201,Foodland,EUDUNDA,,,,,,,,,,,
FLAND IGA KAPUNDA,122167,KAPUNDA,SA,5373,198,Foodland,EUDUNDA,,,,,,,,,,,
IGA LOCAL GROCER KAROONDA,22119,KAROONDA,SA,5307,1451,IGA Local Grocer,,,,,,,,,,,,
IGA M KEITH,9798,KEITH,SA,5267,463,IGA Medium,,,,,,,,,,,,
FGRC KIDMAN PARK,228472,KIDMAN PARK,SA,5025,2056,Friendly Grocer,,,,,,,,,,,,
FLAND IGA KILKENNY,81736,KILKENNY,SA,5009,197,Foodland,ROMEO,,,,,,,,,,,
FRIENDLY GROCER KIMBA,22183,KIMBA,SA,5641,1812,Friendly Grocer,,,,,,,,,,,,
IGA M KIMBA,22213,KIMBA,SA,5641,958,IGA Medium,,,,,,,,,,,,
KINGSTON FOODLAND IGA,21292,KINGSTON SE,SA,5275,347,Foodland,EUDUNDA,,,,,,,,,,,
IGA LOCAL GROCER KINGSTON SE,32843,KINGSTON SE,SA,5275,1352,IGA Local Grocer,,,,,,,,,,,,
IGA M LAMEROO,18310,LAMEROO,SA,5302,813,IGA Medium,EUDUNDA,,,,,,,,,,,
IGA LOCAL GROCER LAURA,14574,LAURA,SA,5480,1481,IGA Local Grocer,,,,,,,,,,,,
IGA M LEABROOK,39305,LEABROOK,SA,5068,981,IGA Medium,-,,,,,,,,,,,
IGA LOCAL GROCER LEIGH CREEK,18878,LEIGH CREEK,SA,5731,1238,IGA Local Grocer,,,,,,,,,,,,
LITTLEHAMPTON FOODLAND,52902,LITTLEHAMPTON,SA,5250,492,Foodland,KLOSE,,,,,,,,,,,
LOBETHAL FOODLAND IGA,5135,LOBETHAL,SA,5241,288,Foodland,KLOSE,,,,,,,,,,,
LOCKLEYS FOODLAND IGA,15263,LOCKLEYS,SA,5032,731,Foodland,ROMEO,,,,,,,,,,,
LOXTON FOODLAND IGA,18982,LOXTON,SA,5333,432,Foodland,KOCH,,,,,,,,,,,
IGA LOCAL GROCER LYNDOCH,32487,LYNDOCH,SA,5351,1439,IGA Local Grocer,,,,,,,,,,,,
MAGILL FOODLAND IGA,15780,MAGILL,SA,5072,451,Foodland,ROMEO,,,,,,,,,,,
MAITLAND FOODLAND,22264,MAITLAND,SA,5573,615,Foodland,,,,,,,,,,,,
IGA LOCAL GROCER MALLALA,11529,MALLALA,SA,5502,1285,IGA Local Grocer,,,,,,,,,,,,
IGA M MANNUM,72051,MANNUM,SA,5238,145,IGA Medium,KLOSE,,,,,,,,,,,
MANNUM FOODLAND IGA,18368,MANNUM,SA,5238,946,Foodland,EUDUNDA,,,,,,,,,,,
MARION FOODLAND IGA,43142,MARION,SA,5043,575,Foodland,ROMEO,,,,,,,,,,,
MCLAREN VALE FOODLAND,2511,MCLAREN VALE,SA,5171,717,Foodland,ROMEO,,,,,,,,,,,
MENINGIE FOODLAND IGA,22331,MENINGIE,SA,5264,635,Foodland,EUDUNDA,,,,,,,,,,,
IGA M MILLICENT,17771,MILLICENT,SA,5280,1160,IGA Medium,SA SUPERMART,,,,,,,,,,,
MILLICENT FOODLAND IGA (FOSTER'S),22258,MILLICENT,SA,5280,623,Foodland,,,,,,,,,,,,
FLAND IGA MINLATON,1640,MINLATON,SA,5575,182,Foodland,,,,,,,,,,,,
FOODLAND IGA MITCHAM (ROMEO),33310,MITCHAM,SA,5062,122,Foodland,ROMEO,,,,,,,,,,,
MOANA FOODLAND,43191,MOANA,SA,5169,805,Foodland,CHARAT PANNU,,,,,,,,,,,
FRIENDLY GROCER MORGAN (& NEWSAGENCY),15437,MORGAN,SA,5320,1843,Friendly Grocer,,,,,,,,,,,,
IGA M MORPHETT VALE,32464,MORPHETT VALE,SA,5162,725,IGA Medium,,,,,,,,,,,,
MORPHETT VALE FOODLAND IGA,47579,MORPHETT VALE,SA,5162,485,Foodland,,,,,,,,,,,,
MORPHETTVILLE SUPERMARKET,53233,MORPHETTVILLE,SA,5043,1366,IGA Local Grocer,ZHEN,,,,,,,,,,,
MT BARKER FOODLAND IGA,22018,MOUNT BARKER,SA,5251,245,Foodland,GRAHAM RUGLESS,,,,,,,,,,,
FOODWORKS CONROE HEIGHTS (MT GAMBIER),18945,MOUNT GAMBIER,SA,5290,1453,Foodworks,,,,,,,,,,,,
IGA LG MT GAMBIER MONTEBELLO,21727,MOUNT GAMBIER,SA,5290,1363,IGA Local Grocer,-,,,,,,,,,,,
APCO MOUNT GAMBIER VILLAGE GROCER,276481,MOUNT GAMBIER,SA,5290,1913,Independents Other,APCO,,,,,,,,,,,
IGA LOCAL GROCER SWALLOW DRIVE,32455,MOUNT GAMBIER,SA,5290,1658,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER SWALLOW DRIVE,32455,MOUNT GAMBIER,SA,5290,1658,IGA Local Grocer,,,,,,,,,,,,
MUNDULLA GENERAL STORE,11280,MUNDULLA,SA,5270,2187,Friendly Grocer,,,,,,,,,,,,
MUNNO PARA FOODLAND IGA,14270,MUNNO PARA,SA,5115,2,Foodland,CHAPLEYS,,,,,,,,,,,
IGA M WESTSIDE,52898,MURRAY BRIDGE,SA,5253,857,IGA Medium,,,,,,,,,,,,
FLAND IGA NAIRNE,83008,NAIRNE,SA,5252,242,Foodland,KLOSE,,,,,,,,,,,
NARACOORTE (CARTERS) FOODLAND IGA,17395,NARACOORTE,SA,5271,271,Foodland,CARTER TIM,,,,,,,,,,,
NORMANVILLE FOODLAND IGA,16717,NORMANVILLE,SA,5204,454,Foodland,ROMEO,,,,,,,,,,,
NORTH ADELAIDE FOODLAND IGA,43168,NORTH ADELAIDE,SA,5006,221,Foodland,ROMEO,,,,,,,,,,,
NORWOOD FOODLAND IGA,5924,NORWOOD,SA,5067,4,Foodland,CHAPLEYS,,,,,,,,,,,
IGA LOCAL GROCER NOVAR GARDENS,1122,NOVAR GARDENS,SA,5040,1778,IGA Local Grocer,,,,,,,,,,,,
FOODWORKS NURIOOTPA,14669,NURIOOTPA,SA,5355,1001,Foodworks,,,,,,,,,,,,
HILLTOP SUPERMARKET,19979,O'HALLORAN HILL,SA,5158,1922,IGA Local Grocer,,,,,,,,,,,,
OLD REYNELLA FOODLAND IGA,43164,OLD REYNELLA,SA,5161,411,Foodland,ROMEO,,,,,,,,,,,
IGA LOCAL GROCER ORROROO,5164,ORROROO,SA,5431,1347,IGA Local Grocer,,,,,,,,,,,,
IGA M PARA HILLS,14289,PARA HILLS,SA,5096,911,IGA Medium,SA SUPERMART,,,,,,,,,,,
IGA M PARA VISTA,43172,PARA VISTA,SA,5093,1060,IGA Medium,HUYNH,,,,,,,,,,,
PARAFIELD GARDENS FOODLAND,39091,PARAFIELD GARDENS,SA,5107,703,Foodland,JOGESH,,,,,,,,,,,
IGA LOCAL GROCER PARINGA,1173,PARINGA,SA,5340,1579,IGA Local Grocer,SA SUPERMART,,,,,,,,,,,
PASADENA FOODLAND IGA,21130,PASADENA,SA,5042,9,Foodland,CRG,,,,,,,,,,,
IGA M PENNESHAW,43166,PENNESHAW,SA,5222,720,IGA Medium,MARK MCLEAY,,,,,,,,,,,
FLAND IGA PENOLA,43467,PENOLA,SA,5277,495,Foodland,GRAHAM RUGLESS,,,,,,,,,,,
PETERBOROUGH FOODLAND IGA,4843,PETERBOROUGH,SA,5422,393,Foodland,EUDUNDA,,,,,,,,,,,
PINNAROO FOODLAND IGA,4667,PINNAROO,SA,5304,689,Foodland,EUDUNDA,,,,,,,,,,,
PIPALYATJARA COMMUNITY STORE,112257,PIPALYATJARA,SA,872,1675,Friendly Grocer,MAI WIRU,,,,,,,,,,,
FLAND CANNON ST PORT ADELAIDE,286009,PORT ADELAIDE,SA,5015,448,Foodland,ROMEO,,,,,,,,,,,
PT ADELAIDE FOODLAND IGA,43175,PORT ADELAIDE,SA,5015,624,Foodland,ROMEO,,,,,,,,,,,
FOODLAND IGA PORT AUGUSTA (WESTSIDE),32799,PORT AUGUSTA,SA,5700,583,Foodland,EUDUNDA,,,,,,,,,,,
IGA M PORT BROUGHTON,39927,PORT BROUGHTON,SA,5522,603,IGA Medium,,,,,,,,,,,,
PORT ELLIOTT GROCER,9405,PORT ELLIOT,SA,5212,1965,Friendly Grocer,,,,,,,,,,,,
FGRC PORT MACDONNELL,80831,PORT MACDONNELL,SA,5291,1979,Friendly Grocer,,,,,,,,,,,,
FLAND IGA PORT NOARLUNGA SOUTH,10103,PORT NOARLUNGA SOUTH,SA,5167,829,Foodland,SA SUPERMART,,,,,,,,,,,
FOOD PLUS PORT PIRIE,5663,PORT PIRIE,SA,5540,1527,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER PORT VINCENT,22078,PORT VINCENT,SA,5581,1213,IGA Local Grocer,RON TURNBULL,,,,,,,,,,,
PUKATJA COMMUNITY STORE,112256,PUKATJA,SA,872,1502,Friendly Grocer,MAI WIRU,,,,,,,,,,,
IGA LOCAL GROCER QUORN,7021,QUORN,SA,5433,893,IGA Local Grocer,,,,,,,,,,,,
IGA M REDWOOD PARK,13135,REDWOOD PARK,SA,5097,1065,IGA Medium,HUYNH,,,,,,,,,,,
RENMARK FOODLAND,8447,RENMARK,SA,5341,296,Foodland,KOCH,,,,,,,,,,,
IGA LOCAL GROCER RIVERTON,16190,RIVERTON,SA,5412,967,IGA Local Grocer,SA SUPERMART,,,,,,,,,,,
FOODLAND IGA ROBE,38621,ROBE,SA,5276,307,Foodland,EUDUNDA,,,,,,,,,,,
ROSEWATER FOODLAND IGA,3984,ROSEWATER,SA,5013,616,Foodland,ROMEO,,,,,,,,,,,
ROSTREVOR FOODLAND IGA,43160,ROSTREVOR,SA,5073,336,Foodland,ROMEO,,,,,,,,,,,
FLAND ROYAL PARK,5245,ROYAL PARK,SA,5014,206,Foodland,ROMEO,,,,,,,,,,,
FLAND IGA RUNDLE MALL,195174,RUNDLE MALL,SA,5000,601,Foodland,ROMEO,,,,,,,,,,,
FLAND IGA SAINTS ROAD,208689,SAINTS,SA,5461,5,Foodland,CHAPLEYS,,,,,,,,,,,
SALISBURY EAST FOODLAND,43934,SALISBURY EAST,SA,5109,427,Foodland,ROMEO,,,,,,,,,,,
SEACLIFF PK FOODLAND IGA,9208,SEACLIFF,SA,5049,286,Foodland,SUPERMARKET INV,,,,,,,,,,,
SEFTON PK FOODLAND IGA,7282,SEFTON PARK,SA,5083,52,Foodland,CHAPLEYS,,,,,,,,,,,
IGA LOCAL GROCER SEMAPHORE,16184,SEMAPHORE,SA,5019,1200,IGA Local Grocer,-,,,,,,,,,,,
IGA LOCAL GROCER SNOWTOWN,46904,SNOWTOWN,SA,5520,1584,IGA Local Grocer,CHARAT PANNU,,,,,,,,,,,
IGA LOCAL GROCER SOMERTON PARK,18502,SOMERTON PARK,SA,5044,1570,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER SOUTH PLYMPTON,21024,SOUTH PLYMPTON,SA,5038,1535,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER STANSBURY,7042,STANSBURY,SA,5582,1470,IGA Local Grocer,RON TURNBULL,,,,,,,,,,,
STIRLING FOODLAND IGA,52616,STIRLING,SA,5152,150,Foodland,ROMEO,,,,,,,,,,,
IGA M BECKS STREAKY BAY,30192,STREAKY BAY,SA,5680,848,IGA Medium,,,,,,,,,,,,
STREAKY BAY (REDDINGS) FOODLAND,16070,STREAKY BAY,SA,5680,331,Foodland,,,,,,,,,,,,
IGA LOCAL GROCER SWANPORT,600,SWANPORT,SA,5253,984,IGA Local Grocer,,,,,,,,,,,,
TAILEM BEND FOODLAND IGA,2449,TAILEM BEND,SA,5259,598,Foodland,EUDUNDA,,,,,,,,,,,
TANUNDA FOODLAND IGA,641,TANUNDA,SA,5352,132,Foodland,EUDUNDA,,,,,,,,,,,
THEBARTON FOODLAND IGA,18470,THEBARTON,SA,5031,875,Foodland,,,,,,,,,,,,
IGA M THEVENARD,20543,THEVENARD,SA,5690,753,IGA Medium,RAJ GROUP,,,,,,,,,,,
FOODWORKS TINTINARA,32979,TINTINARA,SA,5266,2014,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER TROTT PARK,38592,TROTT PARK,SA,5158,1591,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER TUMBY BAY,22080,TUMBY BAY,SA,5605,1972,Friendly Grocer,,,,,,,,,,,,
TUMBY BAY FOODLAND IGA,38632,TUMBY BAY,SA,5605,378,Foodland,,,,,,,,,,,,
IGA LOCAL GROCER TWO WELLS,38671,TWO WELLS,SA,5501,1008,IGA Local Grocer,JIGAR,,,,,,,,,,,
IGA M VALLEY VIEW,19726,VALLEY VIEW,SA,5093,1070,IGA Medium,hanif,,,,,,,,,,,
HARBOUR FRESH SUPERMARKET (FWKS ASSOC),80820,VICTOR HARBOR,SA,5211,1730,Foodworks,-,,,,,,,,,,,
WAIKERIE FOODLAND IGA,21706,WAIKERIE,SA,5330,694,Foodland,EUDUNDA,,,,,,,,,,,
FOODWORKS WAROOKA,38624,WAROOKA,SA,5577,1723,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER WATTLE PARK,14711,WATTLE PARK,SA,5066,1400,IGA Local Grocer,,,,,,,,,,,,
WEST LAKES FOODLAND IGA,32490,WEST LAKES,SA,5021,247,Foodland,SAM ZUCCO,,,,,,,,,,,
FOODLAND IGA WHYALLA,18532,WHYALLA,SA,5600,1204,Foodland,MANOJ RAI,,,,,,,,,,,
FRIENDLY GROCER WILMINGTON,22131,WILMINGTON,SA,5485,1833,Friendly Grocer,,,,,,,,,,,,
WOODSIDE FOODLAND IGA,15822,WOODSIDE,SA,5244,142,Foodland,KLOSE,,,,,,,,,,,
IGA LOCAL GROCER WOODVILLE,19096,WOODVILLE,SA,5011,1568,IGA Local Grocer,MUBEEN,,,,,,,,,,,
WUDINNA FOODLAND,15115,WUDINNA,SA,5652,670,Foodland,,,,,,,,,,,,
YORKETOWN FOODLAND IGA,3554,YORKETOWN,SA,5576,267,Foodland,GRAHAM RUGLESS,,,,,,,,,,,
IGA X-press Austins Ferry,30610,AUSTINS FERRY,TAS,7011,,IGA X-Press,,,,,,,,,,,,
Avoca Roadhouse,30711,AVOCA ,TAS,7213,,C-Store,,,,,,,,,,,,
IGA Beaconsfield (Wilke's),30387,BEACONSFIELD ,TAS,7270,,IGA,,,,,,,,,,,,
IGA Beaconsfield BLH,30459,BEACONSFIELD ,TAS,7270,,IGA,,,,,,,,,,,,
Chef's Catch,30376,BEAUTY POINT,TAS,7270,,Misc,,,,,,,,,,,,
Berriedale Store,30357,BERRIEDALE ,TAS,7011,,Misc,,,,,,,,,,,,
IGA X-Press Bicheno,30365,BICHENO,TAS,7215,,IGA X-Press,,,,,,,,,,,,
Hill Street Grocer (Blackmans Bay),30434,BLACKMANS BAY,TAS,7052,,IGA,,,,,,,,,,,,
Baxters IGA Blackstone Village,30370,BLACKSTONE HEIGHTS,TAS,7250,,IGA X-Press,,,,,,,,,,,,
Bracknell Roadhouse,30920,BRACKNELL ,TAS,7302,,Misc,,,,,,,,,,,,
IGA X-press Branxholm,30286,BRANXHOLM,TAS,7261,,IGA X-Press,,,,,,,,,,,,
IGA Bridport,30364,BRIDPORT,TAS,7262,,IGA,,,,,,,,,,,,
IGA Local Grocer Bridport,30385,BRIDPORT,TAS,7262,,IGA X-Press,,,,,,,,,,,,
IGA Brighton TIR,30333,BRIGHTON,TAS,7030,,IGA,,,,,,,,,,,,
Adventure Bay General Store,30392,BRUNY ISLAND,TAS,7150,,C-Store,,,,,,,,,,,,
CAMPUS & CO BURNIE,249823,BURNIE,TAS,7320,2166,Foodworks,,,,,,,,,,,,
IGA Burnie (Syd's),30802,BURNIE,TAS,7320,,IGA,,,,,,,,,,,,
IGA X-press Burnie (West Park Grove),30904,BURNIE,TAS,7320,,IGA X-Press,,,,,,,,,,,,
Country Market,30858,BURNIE ,TAS,7320,,Misc,,,,,,,,,,,,
The Local Grocer Cambridge,30334,CAMBRIDGE ,TAS,7170,,Misc,,,,,,,,,,,,
Young's Vegie Shed Camdale,30627,CAMDALE,TAS,7320,,Misc,,,,,,,,,,,,
IGA Campbell Town,30349,CAMPBELL TOWN,TAS,7210,,IGA,,,,,,,,,,,,
Cape Barren Community Group,30914,CAPE BARREN ISLAND ,TAS,7257,,Misc,,,,,,,,,,,,
Abbotsfield Store,30337,CLAREMONT,TAS,7011,,Misc,,,,,,,,,,,,
Clarendon Vale Store,30348,CLARENDON VALE,TAS,7019,,Misc,,,,,,,,,,,,
Iluka General Store,30350,COLES BAY ,TAS,7215,,Misc,,,,,,,,,,,,
IGA X-press Cressy,30688,CRESSY,TAS,7302,,IGA X-Press,,,,,,,,,,,,
IGA KING ISLAND PLUS LIQUOR CURRIE,19026,CURRIE,TAS,7256,709,IGA Medium,-,,,,,,,,,,,
FOODWORKS CURRIE KING ISLAND,33016,CURRIE,TAS,7256,1099,Foodworks,,,,,,,,,,,,
King Island IGA,30394,CURRIE,TAS,7256,,C-Store,,,,,,,,,,,,
Farah's IGA Cygnet,30359,CYGNET,TAS,7112,,IGA,,,,,,,,,,,,
Port Cygnet Grocer,30708,CYGNET,TAS,7112,,C-Store,,,,,,,,,,,,
CAMPUS & CO DELORAINE FWK,284575,DELORAINE,TAS,7304,2137,Foodworks,-,,,,,,,,,,,
CAMPUS & CO DEVONPORT FWK,284576,DEVONPORT,TAS,7310,2147,Foodworks,-,,,,,,,,,,,
Hill Street Grocer (Devonport),30717,DEVONPORT,TAS,7310,,IGA,,,,,,,,,,,,
IGA X-press Devonport (Fourways) PPS,30271,DEVONPORT,TAS,7310,,IGA X-Press,,,,,,,,,,,,
IGA X-press Devonport (Valley Road) PPS,30441,DEVONPORT,TAS,7310,,IGA X-Press,,,,,,,,,,,,
Hill Street Grocer (Dodges Ferry),30617,DODGES FERRY,TAS,7173,,IGA,,,,,,,,,,,,
IGA X-press Dover ,30362,DOVER,TAS,7117,,IGA X-Press,,,,,,,,,,,,
The Dover Grocer & Newsagency,30169,DOVER ,TAS,7117,,Misc,,,,,,,,,,,,
FOODWORKS EAST DEVONPORT (TAS),3019,EAST DEVONPORT,TAS,7310,1524,Foodworks,,,,,,,,,,,,
IGA X-press East Devonport,30422,EAST DEVONPORT,TAS,7310,,IGA X-Press,,,,,,,,,,,,
Evandale Providore,30386,EVANDALE,TAS,7212,,Misc,,,,,,,,,,,,
IGA Everyday Exeter,30780,EXETER,TAS,7275,,IGA,,,,,,,,,,,,
Freeland's News & Grocer,30371,EXETER,TAS,7275,,IGA X-Press,,,,,,,,,,,,
Fingal Valley Supermarket,30358,FINGAL,TAS,7214,,Misc,,,,,,,,,,,,
Forest General Store,30712,FOREST ,TAS,7330,,Misc,,,,,,,,,,,,
IGA X-press Gagebrook ,30461,GAGEBROOK,TAS,7030,,IGA X-Press,,,,,,,,,,,,
Laona Store,30391,GAGEBROOK ,TAS,7030,,Misc,,,,,,,,,,,,
