Storeid,StoreName,State,ENERGIZER_1_sales,ENERGIZER_1 suggest,ENERGIZER_2_sales,ENERGIZER_2 suggest,ENERGIZER_3_sales,ENERGIZER_3 suggest,ENERGIZER_4_sales,ENERGIZER_4 suggest,EVEREADY_1_sales,EVEREADY_1_suggest,ARMORALL_1_sales,ARMORALL_1_suggest,ARMORALL_2_sales,ARMORALL_2_suggest,JELLYBELLY_1_sales,JELLYBELLY_1_suggest,TORCH_1_sales,TORCH_1_suggest
30467,HILL STREET IGA - LONGFORD,TAS,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
30581,IGA WESTBURY,TAS,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
30387,IGA BEACONSFIELD,TAS,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
30459,IGA XPRESS BEACONSFIELD,TAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30736,IGA SUPA PROSPECT,TAS,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
30374,IGA SUPA SHEARWATER,TAS,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30176,IGA SUPA SPREYTON,TAS,7,1,0,0,0,0,4,4,6,6,0,0,0,0,3,3,0,0
30366,IGA PENGUIN,TAS,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0
30802,IGA BURNIE,TAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
30834,IGA SOMERSET,TAS,2,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0
30388,IGA SHEFFIELD,TAS,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30658,IGA XPRESS PENGUIN,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30818,IGA YOUNGTOWN,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0
30365,IGA BICHENO,TAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30355,IGA TRIABUNNA,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30262,IGA ORFORD,TAS,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
30538,IGA EVERDAY NUBEENA,TAS,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30263,IGA ULVERSTONE,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30286,IGA XPRESS BRANXHOLM,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30362,IGA DOVER,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30382,IGA OATLANDS ROXY,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3019,FOODWORKS EAST DEVONPORT (TAS),TAS,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30571,IGA LILYDALE (TAS),TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30621,IGA GEORGE TOWN,TAS,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30781,IGA XPRESS SOUTH RIANA,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30333,IGA BRIGHTON TAS,TAS,2,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
30133,IGA RICHMOND,TAS,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0
30346,BAXTERS IGA SNUG,TAS,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,0,0
30356,BAXTERS IGA SANDY BAY,TAS,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,0,0
30363,IGA EVERYDAY SWANSEA,TAS,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
30377,IGA ST HELENS,TAS,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
30666,IGA - BAY OF FIRES ST HELENS,TAS,2,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0
14705,IGA MANSFIELD MARKS 378414,VIC,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1
15120,SUPA IGA FITZROY NORTH PIEDIMONTE 425728,VIC,2,1,1,1,1,1,2,2,2,2,0,0,1,1,2,2,1,1
18232,FOODWORKS INVERLOCH  195420,VIC,2,1,0,0,0,0,0,0,1,1,0,0,1,1,2,2,1,1
10890,FOODWORKS BUNINYONG 968180,VIC,1,1,0,0,0,0,1,1,1,1,4,4,1,1,4,4,1,1
19071,SUPA IGA GISBORNE (MORGANS)  404509,VIC,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,0,0
33085,SUPA IGA DELAHEY (MORGANS)  402602,VIC,2,1,2,2,3,3,2,2,1,1,1,1,1,1,2,2,0,0
20428,SUPA IGA SUNBURY (MORGANS)  528356,VIC,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,0,0
11599,SUPA IGA MELTON (MORGANS)  401786,VIC,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,0,0
52532,SUPA IGA GLENGALA (MORGANS)  403204,VIC,1,1,0,0,1,1,2,2,1,1,1,1,1,1,2,2,0,0
83201,FWKS GRANTVILLE,VIC,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
43953,IGA FERNTREE GULLY (MAXI)  378992,VIC,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7713,FOODWORKS GISBORNE 193177,VIC,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0
33201,SUPA IGA CASTLEMAINE (MAXI)  371005,VIC,2,1,0,0,0,0,0,0,2,2,2,2,1,1,2,2,0,0
16039,IGA ORMOND 978395,VIC,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19825,FOODWORKS MYRTLEFORD (NICK COOK)  771212,VIC,1,1,0,0,0,0,0,0,1,1,3,3,0,0,2,2,0,0
244159,IGA M BARANDUDA 975540,VIC,1,1,0,0,0,0,1,1,0,0,2,2,0,0,2,2,0,0
40167,IGA COCKATOO 196873,VIC,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
48274,IGA BALLAJURA MARKET PLACE 197971,WA,2,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0
48311,IGA MULLALOO (REBELO)  201910,WA,2,1,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0
48144,IGA CANNINGVALE (ROCK GROUP)  132993,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48221,IGA DOUBLEVIEW  196010,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48127,IGA WOODVALE 207730,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
48147,IGA QUINNS ROCK (REBELO)  111368,WA,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48253,SUPA VALU GIRRAWHEEN 211931,WA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
49156,IGA SWAN VIEW  134589,WA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
39754,IGA OSBORNE PARK  202282,WA,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48976,IGA NORANDA 212652,WA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48133,IGA HELENA VALLEY  128724,WA,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
48212,IGA MOUNT BARKER  112321,WA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48379,IGA EXPRESS WAGIN  204439,WA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
49850,IGA JOONDALUP CANDLEWOOD 213659,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48283,IGA OCEAN REEF BEAUMARIS 105651,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83253,IGA AVELEY 213551,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48122,IGA DENMARK FINE FOOD MARKET 161160,WA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
48327,IGA COTTESLOE  205290,WA,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2745,IGA NEDLANDS  118885,WA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48331,IGA MANDURAH 211419,WA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
83919,IGA SOUTH GUILDFORD  204005,WA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48316,IGA KINGSLEY (GRANT)  201553,WA,2,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
48285,IGA CRAIGIE (GRANT)  206431,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
48271,IGA EVERFRESH MERRIWA 212601,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52411,IGA DARCH 210072,WA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83288,IGA ILUKA (SINGH) 208698,WA,2,1,0,0,0,0,2,2,0,0,1,1,0,0,2,2,0,0
50473,TUCKER FRESH IGA ATWELL  203203,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251705,IGA TUCKER FRESH PIARA WATERS 211737,WA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48314,IGA PADBURY (GRANT)  189006,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
71994,FRIENDLY GROCER PEARSALL (GRANT) 211630,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
52119,IGA INNALOO (SINGH)  201928,WA,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
84742,IGA BALDIVIS  203785,WA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48261,IGA HARVEY  106380,WA,2,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1
48123,IGA TUKER FRESH KINROSS (SINGH)  131377,WA,2,1,1,1,0,0,2,2,1,1,2,2,0,0,0,0,0,0
3388,SUPA IGA WAROONA  106372,WA,2,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1
48242,IGA LOCAL GROCER DALKEITH 209295,WA,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
